playlist,description,track_id,title,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",2Tk3MFO6GePBiDFI0VesDF,acting like that (feat. Machine Gun Kelly),7444167,acting like that (feat. Machine Gun Kelly),YUNGBLUD,Machine Gun Kelly,,6Ad91Jof8Niiw0lGLLi3NW,53,british indie rock,modern rock,rock,1306568,0,191081,0.523,0.893,8,-2.78,1,0.075,7.71e-05,0.0,0.27,0.561,160.004,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",1LaSuvCbVB87ANKGfjUTbh,Arcade (feat. FLETCHER),2871249,Arcade (feat. FLETCHER),Duncan Laurence,FLETCHER,,3klZnJvYGIbWritVwQD434,62,dutch pop,,,110720,0,187453,0.446,0.395,0,-9.328,1,0.0365,0.815,0.00216,0.128,0.267,71.944,3
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",6Et7bBOxtMxcCa7MyjKpr3,Brother’s Keeper,nan,My Brother’s Keeper (Long Live G),DaBaby,,,4r63FhuTkUYltbVAg5TQnk,70,north carolina hip hop,rap,,5185479,1,126859,0.751,0.678,1,-5.956,0,0.357,0.189,0.0,0.51,0.782,154.896,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",02MWAaffLxlfxAUY7c5dvx,Heat Waves,70581747,Dreamland (+ Bonus Levels),Glass Animals,,,4yvcSjfu4PC0CYQyLy4wSq,74,gauze pop,indietronica,shiver pop,1402043,0,238805,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",0F9AHUzzvk7pLxC4Xi3p1t,Supernova,8058054,18,badmómzjay,,,7oWrEQO1d3klp0Qrfh7a5h,69,frauenrap,german drill,german hip hop,113107,0,192829,0.461,0.479,9,-10.207,1,0.0644,0.248,0.101,0.145,0.0654,138.958,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",4esyKRHqA3E57OuXm8U8Mu,Am I The Only One (with Astrid S & HRVY),nan,Am I The Only One (with Astrid S & HRVY),R3HAB,Astrid S,HRVY,6cEuCEZu7PAE9ZSzLLc2oQ,63,big room,dance pop,dutch house,2102381,0,152143,0.722,0.595,9,-7.744,1,0.057,0.406,1.48e-06,0.0926,0.444,139.899,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",223gXTYJZGuTDsKuiqOSff,Another Day In Paradise,818375,Another Day In Paradise,Gestört aber GeiL,,,7KAGJwWQQui8b0uqwXRkSr,56,german dance,german pop,partyschlager,403826,0,188262,0.835,0.836,5,-5.949,0,0.0509,0.0581,0.000533,0.305,0.853,125.0,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV)",439946788,B4 The Storm,Internet Money,Gunna,Don Toliver,6MPCFvOQv5cIGfw3jODMF0,90,pop rap,rap,trap,183726,1,195429,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",3foWaxM2tcZD91WcOLFqch,cotton candy,13162319,cotton candy,YUNGBLUD,,,6Ad91Jof8Niiw0lGLLi3NW,49,british indie rock,modern rock,rock,1306568,0,167365,0.633,0.93,9,-3.262,1,0.0748,0.0104,0.0,0.0866,0.701,124.041,4
Mega Hits 2020 - Die Hits des Jahres,"Die größten Hits und Banger des Jahres 2020 in einer Playlist! Bock auf Mega <a href=""https://www.weihnachtsplaylist.de/?utm_source=spotify&utm_medium=playlistslink&utm_campaign=megahits"">Weihnachts-Hits?</a> 🎅🎄",7Cv3tkzMpKp7xOZ6FX6Fk7,Nothing To Lose,2132389,Dance Club 2020.02,ToTheMoon,Nico Santos,,20ZUOewlSW8L3sAvhZEd9m,28,german r&b,,,1618,0,167027,0.575,0.722,10,-6.637,0,0.0431,0.00992,0.0,0.586,0.445,109.911,4
