playlist,description,track_id,title,release,plays,album,artist1,artist2,artist3,artist_id,popularity_track,genre1,genre2,genre3,artist_followers,explicit,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Songs to Sing in the Car,Sing along and enjoy the drive...,2RSHsoi04658QL5xgQVov3,Bad Liar,2018-11-09,549423183,Origins (Deluxe),Imagine Dragons,,,53XhwfbYqKCa1cC15pYq2q,84,modern rock,rock,,31919694,0,260773,0.383,0.637,3,-6.993,1,0.0703,0.0722,0.0,0.368,0.0827,177.913,4
Songs to Sing in the Car,Sing along and enjoy the drive...,2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,2018-06-29,nan,Scorpion,Drake,,,3TVXtAsR1Inumwj472S9r4,81,canadian hip hop,canadian pop,hip hop,51906055,1,217925,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,4
Songs to Sing in the Car,Sing along and enjoy the drive...,40U9Hj3oyCRHRY1tq2zkbS,Yapma,2018-12-21,73340359,Yapma,C ARMA,,,1wLLRA70itxEltujaQlLiT,0,german r&b,,,81494,0,169000,0.771,0.711,11,-5.46,0,0.0932,0.106,1.96e-05,0.0643,0.832,167.97,4
Songs to Sing in the Car,Sing along and enjoy the drive...,2j2fIJGh4PMdXt9ULI5Tlc,Dura,2018-01-18,nan,Dura,Daddy Yankee,,,4VMYDCV2IEDYJArk749S6m,2,latin,latin hip hop,reggaeton,21566156,0,200480,0.786,0.846,1,-3.468,1,0.0505,0.174,0.0,0.413,0.819,95.005,4
Songs to Sing in the Car,Sing along and enjoy the drive...,5p1ex0pXv6jSPJ6QbumQpD,Piece Of Your Heart,2019-02-01,658928305,Piece Of Your Heart,MEDUZA,Goodboys,,0xRXCcSX89eobfrshSVdyu,2,edm,pop dance,pop house,359692,0,152913,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
Songs to Sing in the Car,Sing along and enjoy the drive...,15jRg8Ejs7X3JEHw38TSN3,Team,2013-01-01,437732040,Pure Heroine (Extended),Lorde,,,163tK9Wjr9P9DmM0AVK7lm,74,art pop,dance pop,electropop,6954169,0,193059,0.69,0.578,6,-7.436,1,0.0929,0.167,0.0,0.305,0.416,99.961,4
Songs to Sing in the Car,Sing along and enjoy the drive...,02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),2019-04-05,321976766,All Around The World (La La La),R3HAB,A Touch Of Class,,6cEuCEZu7PAE9ZSzLLc2oQ,80,big room,dance pop,dutch house,2111497,0,147840,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,4
Songs to Sing in the Car,Sing along and enjoy the drive...,447yWcDPg1ddgcHBLGpJC0,Better Not (feat. Wafia),2018-04-13,nan,Better Not (feat. Wafia),Louis The Child,Wafia,,7wg1qvie3KqDNQbAkTdbX0,1,edm,electropop,indie poptimism,393507,0,222866,0.783,0.537,9,-2.921,1,0.0749,0.278,0.0,0.229,0.392,113.977,4
Songs to Sing in the Car,Sing along and enjoy the drive...,514rhnksEwHUh6LxXsQ4Y9,Back To You,2018-05-18,716565428,13 Reasons Why (Season 2),Selena Gomez,,,0C8ZW7ezQVs4URX5aX7Kqx,73,dance pop,pop,pop dance,24348848,0,210240,0.6,0.683,6,-6.271,1,0.0493,0.0984,1.26e-06,0.11,0.494,102.036,4
Songs to Sing in the Car,Sing along and enjoy the drive...,5w9c2J52mkdntKOmRLeM2m,Con Calma,2019-01-24,918903480,Con Calma,Daddy Yankee,Snow,,4VMYDCV2IEDYJArk749S6m,83,latin,latin hip hop,reggaeton,21566156,0,193227,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,4
Songs to Sing in the Car,Sing along and enjoy the drive...,5NORWMFC27ywGSZxi8uquP,Ophelia,2016-04-08,514145279,Cleopatra,The Lumineers,,,16oZKvXb6WkQlVAjwo2Wbg,81,folk-pop,modern rock,stomp and holler,4086605,0,160097,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
Songs to Sing in the Car,Sing along and enjoy the drive...,1WC5UN1U79gJlxGLYDGIO7,Green Light,2017-03-02,392286583,Green Light,Lorde,,,163tK9Wjr9P9DmM0AVK7lm,0,art pop,dance pop,electropop,6954169,0,234662,0.61,0.712,9,-7.808,1,0.0776,0.0147,1.12e-05,0.0843,0.283,128.921,4
Songs to Sing in the Car,Sing along and enjoy the drive...,1zsG4eaZmkA1dvjDDsAGLK,Échame La Culpa,2017-11-17,703568100,Échame La Culpa,Luis Fonsi,Demi Lovato,,4V8Sr092TqfHkfAA5fXXqG,4,latin,latin pop,puerto rican pop,9103055,0,173720,0.724,0.895,7,-3.617,1,0.0411,0.0322,0.0,0.097,0.64,96.022,4
Songs to Sing in the Car,Sing along and enjoy the drive...,55S2PQgSMYAhgoTCcGCDfw,Youngblood,2018-04-12,1091943793,Youngblood,5 Seconds of Summer,,,5Rl15oVamLq7FbSb0NNBNy,77,boy band,dance pop,pop,6968404,0,203418,0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,4
Songs to Sing in the Car,Sing along and enjoy the drive...,56gH0zGe3SP9SGNoQ2pWwn,La Cintura (feat. Flo Rida & TINI) - Remix,2018-07-26,nan,La Cintura (Remix),Alvaro Soler,Flo Rida,TINI,2urF8dgLVfDjunO0pcHUEe,1,latin pop,,,1327509,0,177794,0.681,0.84,6,-4.295,0,0.128,0.0351,0.0,0.398,0.722,100.056,4
Songs to Sing in the Car,Sing along and enjoy the drive...,2FY7b99s15jUprqC0M5NCT,Natural,2018-11-09,657763766,Origins (Deluxe),Imagine Dragons,,,53XhwfbYqKCa1cC15pYq2q,83,modern rock,rock,,31919694,0,189467,0.704,0.611,2,-6.112,1,0.0409,0.217,0.0,0.0812,0.22,100.0,4
Songs to Sing in the Car,Sing along and enjoy the drive...,1tNJrcVe6gwLEiZCtprs1u,3 Nights,2018-10-16,529465480,"Don't Forget About Me, Demos",Dominic Fike,,,6USv9qhCn6zfxlBQIYJ9qs,81,alternative pop rock,pop,,451824,0,177667,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,4
Songs to Sing in the Car,Sing along and enjoy the drive...,2SClPoLfPJmwrr3EyfgRTS,Wild Stare,2018-12-07,54773609,Wild Stare,Giant Rooks,,,5wD0owYApRtYmjPWavWKvb,62,german indie,german pop,german rock,147318,0,194472,0.649,0.823,10,-3.61,0,0.0503,0.0245,0.000227,0.192,0.443,128.069,4
